performance_rating,promoted_within_12m,bin_mid
"(1.0490000000000002, 2.63]",0.22532894736842105,1.8395000000000001
"(2.63, 2.9]",0.28929765886287623,2.7649999999999997
"(2.9, 3.1]",0.3617363344051447,3.0
"(3.1, 3.26]",0.38613861386138615,3.1799999999999997
"(3.26, 3.415]",0.43109540636042404,3.3375
"(3.415, 3.57]",0.43573667711598746,3.4924999999999997
"(3.57, 3.72]",0.4521276595744681,3.645
"(3.72, 3.92]",0.4764227642276423,3.8200000000000003
"(3.92, 4.18]",0.5587734241908007,4.05
"(4.18, 5.0]",0.610738255033557,4.59
